,0
155,"(156, 1176, 'gsd-smartcard', Decimal('0.000'), Decimal('0.200'), datetime.datetime(2022, 11, 23, 14, 34, 44, 723000))"
156,"(157, 1179, 'gsd-screensaver-proxy', Decimal('0.000'), Decimal('0.150'), datetime.datetime(2022, 11, 23, 14, 34, 44, 733000))"
157,"(158, 1183, 'gsd-sharing', Decimal('0.000'), Decimal('0.250'), datetime.datetime(2022, 11, 23, 14, 34, 44, 743000))"
158,"(159, 1210, 'gsd-printer', Decimal('0.000'), Decimal('0.380'), datetime.datetime(2022, 11, 23, 14, 34, 44, 753000))"
159,"(160, 1212, 'colord', Decimal('0.000'), Decimal('0.330'), datetime.datetime(2022, 11, 23, 14, 34, 44, 763000))"
160,"(161, 1241, 'ibus-dconf', Decimal('0.000'), Decimal('0.190'), datetime.datetime(2022, 11, 23, 14, 34, 44, 773000))"
161,"(162, 1253, 'ibus-portal', Decimal('0.000'), Decimal('0.190'), datetime.datetime(2022, 11, 23, 14, 34, 44, 797000))"
162,"(163, 1277, 'ibus-engine-simple', Decimal('0.000'), Decimal('0.190'), datetime.datetime(2022, 11, 23, 14, 34, 44, 807000))"
163,"(164, 1444, 'cupsd', Decimal('0.000'), Decimal('0.350'), datetime.datetime(2022, 11, 23, 14, 34, 44, 817000))"
164,"(165, 1445, 'dbus', Decimal('0.000'), Decimal('0.140'), datetime.datetime(2022, 11, 23, 14, 34, 44, 827000))"
165,"(166, 1446, 'cups-browsed', Decimal('0.000'), Decimal('0.300'), datetime.datetime(2022, 11, 23, 14, 34, 44, 837000))"
166,"(167, 1471, 'xrdp', Decimal('0.000'), Decimal('0.640'), datetime.datetime(2022, 11, 23, 14, 34, 44, 843000))"
167,"(168, 1472, 'xrdp-sesman', Decimal('0.000'), Decimal('0.120'), datetime.datetime(2022, 11, 23, 14, 34, 44, 853000))"
168,"(169, 1474, 'systemd', Decimal('0.000'), Decimal('0.250'), datetime.datetime(2022, 11, 23, 14, 34, 44, 863000))"
169,"(170, 1475, '(sd-pam)', Decimal('0.000'), Decimal('0.110'), datetime.datetime(2022, 11, 23, 14, 34, 44, 877000))"
170,"(171, 1481, 'pipewire', Decimal('0.000'), Decimal('0.170'), datetime.datetime(2022, 11, 23, 14, 34, 44, 883000))"
171,"(172, 1482, 'pipewire-media-session', Decimal('0.000'), Decimal('0.170'), datetime.datetime(2022, 11, 23, 14, 34, 44, 893000))"
